Country;Mandatory paid maternity leave (days);Gross national income (GNI) per capita
Norway;;67614
Australia;;42822
Switzerland;98;56364
Germany;98;45000
Denmark;126;44519
Singapore;105;78162
Netherlands;112;46326
Ireland;182;43798
Iceland;90;37065
Canada;105;42582
United States;;53245
Hong Kong, China (SAR);70;54265
New Zealand;112;32870
Sweden;;46251
Liechtenstein;;75065
United Kingdom;14;37931
Japan;98;37268
Korea (Republic of);90;34541
Israel;98;31215
Luxembourg;112;62471
France;112;38085
Belgium;105;41243
Finland;147;38868
Austria;112;43609
Slovenia;105;28664
Italy;150;33573
Spain;112;32779
Czech Republic;196;28144
Greece;119;24808
Brunei Darussalam;91;72843
Estonia;140;26362
Andorra;;47979
Cyprus;126;29459
Malta;126;29500
Qatar;50;129916
Poland;182;24117
Lithuania;126;26006
Chile;126;21665
Saudi Arabia;70;51320
Slovakia;238;26764
Portugal;;26104
United Arab Emirates;45;66203
Hungary;168;23394
Latvia;112;22589
Argentina;90;20945
Croatia;208;20291
Bahrain;60;37236
Montenegro;45;15410
Russian Federation;140;23286
Romania;126;19428
Kuwait;70;76075
Belarus;126;15629
Oman;50;34402
Barbados;84;14952
Uruguay;98;19148
Bulgaria;410;16261
Kazakhstan;126;22093
Bahamas;91;21565
Malaysia;60;24620
Palau;;13771
Panama;98;19470
Antigua and Barbuda;91;20907
Seychelles;98;23886
Mauritius;84;17948
Trinidad and Tobago;98;28049
Costa Rica;120;14006
Serbia;135;12202
Cuba;;7455
Iran (Islamic Republic of);270;16395
Georgia;183;8856
Turkey;112;18705
Venezuela (Bolivarian Republic of);182;15129
Sri Lanka;84;10789
Saint Kitts and Nevis;91;22436
Albania;365;10252
Lebanon;70;13312
Mexico;84;16383
Azerbaijan;126;16413
Brazil;120;14145
Grenada;90;11502
Bosnia and Herzegovina;365;10091
The former Yugoslav Republic of Macedonia;270;12405
Algeria;98;13533
Armenia;140;8189
Ukraine;126;7361
Jordan;70;10111
Peru;90;11295
Thailand;90;14519
Ecuador;84;10536
China;128;13345
Fiji;84;8245
Mongolia;120;10449
Saint Lucia;91;9791
Jamaica;56;8350
Colombia;98;12762
Dominica;84;10096
Suriname;0;16018
Tunisia;30;10249
Dominican Republic;84;12756
Saint Vincent and the Grenadines;91;10372
Tonga;0;5284
Libya;98;14303
Belize;98;7375
Samoa;28;5372
Maldives;60;10383
Uzbekistan;126;5748
Moldova (Republic of);126;5026
Botswana;84;14663
Gabon;98;19044
Paraguay;63;8182
Egypt;90;10064
Turkmenistan;;14026
Indonesia;90;10053
Palestine, State of;70;5256
Viet Nam;180;5335
Philippines;60;8395
El Salvador;84;7732
Bolivia (Plurinational State of);90;6155
South Africa;120;12087
Kyrgyzstan;126;3097
Iraq;72;11608
Cabo Verde;60;6049
Morocco;98;7195
Nicaragua;84;4747
Guatemala;84;7063
Namibia;84;9770
Guyana;91;6884
Micronesia (Federated States of);;3291
Tajikistan;140;2601
Honduras;84;4466
India;84;5663
Bhutan;56;7081
Timor-Leste;84;5371
Vanuatu;84;2805
Congo;105;5503
Equatorial Guinea;84;21517
Kiribati;84;2475
Lao People's Democratic Republic;105;5049
Bangladesh;112;3341
Ghana;84;3839
Zambia;84;3464
Sao Tome and Principe;90;3070
Cambodia;90;3095
Nepal;52;2337
Myanmar;98;4943
Kenya;90;2881
Pakistan;84;5031
Swaziland;14;7522
Syrian Arab Republic;120;2441
Angola;90;6291
Tanzania (United Republic of);84;2467
Nigeria;84;5443
Cameroon;98;2894
Papua New Guinea;0;2712
Zimbabwe;98;1588
Solomon Islands;84;1561
Mauritania;98;3527
Madagascar;98;1320
Rwanda;84;1617
Comoros;98;1335
Lesotho;84;3319
Senegal;98;2250
Haiti;42;1657
Uganda;84;1670
Sudan;56;3846
Togo;98;1262
Benin;98;1979
Yemen;70;2300
Afghanistan;90;1871
Malawi;56;1073
C̫te d'Ivoire;98;3163
Djibouti;98;3216
Gambia;180;1541
Ethiopia;90;1523
Mali;98;2218
Congo (Democratic Republic of the);98;680
Liberia;90;683
Guinea-Bissau;60;1369
Eritrea;60;1490
Sierra Leone;84;1529
Mozambique;60;1098
South Sudan;56;1882
Guinea;98;1058
Burundi;84;691
Burkina Faso;98;1537
Chad;98;1991
Niger;98;889
Central African Republic;98;587
Korea (Democratic People's Rep. of);;
Marshall Islands;;4412
Monaco;;
Nauru;;12058
San Marino;150;50063
Somalia;;294
Tuvalu;;5395
